2,408330,22947,-96,25,25,-27,0,549,1
3,1709698,202875,-96,25,25,-27,0,849,1
5,1013564,811077,-96,25,25,-27,0,925,1
7,467606,1603931,-96,25,25,-27,0,149,1
8,2061991,1366987,-96,25,25,-27,0,549,1
10,1138429,464549,-96,25,25,-27,0,549,0
11,820139,768507,-96,25,25,-27,0,149,0
12,567754,785640,-96,25,25,-27,0,549,1
14,1305158,491107,-96,25,25,-27,0,549,0
16,1567895,944008,-96,25,25,-27,0,549,1
17,676513,1233516,-96,25,25,-27,0,149,1
20,206270049,47317096,-96,25,25,-27,0,549,1
21,368851552,959924893,-96,25,25,-27,0,149,0
22,266192079,518328556,-96,25,25,-27,0,549,0
23,829473271,726569997,-86,100,100,-10,1,149,1
24,620693727,582363392,-86,100,100,-10,1,549,0
25,769558814,290343986,-86,100,100,-10,1,149,1
26,832938389,240503411,-86,100,100,-10,1,549,1
27,942081367,533237692,-86,100,100,-10,1,149,1
28,124697099,223805214,-86,100,100,-10,1,549,1
29,774237398,539297157,-86,100,100,-10,1,149,1
30,928331282,153149709,-86,100,100,-10,1,549,1
31,900561061,312333329,-86,100,100,-10,1,149,1
33,371570912,236147412,-86,100,100,-10,1,149,1
34,761176297,441398229,-86,100,100,-10,1,549,1
36,509939727,671832197,-50,50,50,0,2,549,1
