2181380,389398,-96,25,25,-27,0,149,1
408330,22947,-96,25,25,-27,0,549,1
1709698,202875,-96,25,25,-27,0,849,1
1790459,1232006,-96,25,25,-27,0,625,1
1013564,811077,-96,25,25,-27,0,925,1
930714,1308273,-96,25,25,-27,0,501,1
467606,1603931,-96,25,25,-27,0,149,1
2061991,1366987,-96,25,25,-27,0,549,1
1266541,1464601,-96,25,25,-27,0,149,1
1138429,464549,-96,25,25,-27,0,549,0
820139,768507,-96,25,25,-27,0,149,0
567754,785640,-96,25,25,-27,0,549,1
1421581,1128966,-96,25,25,-27,0,149,1
1305158,491107,-96,25,25,-27,0,549,0
925921,824512,-96,25,25,-27,0,149,0
1567895,944008,-96,25,25,-27,0,549,1
676513,1233516,-96,25,25,-27,0,149,1
1591310,1473157,-96,25,25,-27,0,549,0
421116603,348616858,-96,25,25,-27,0,149,1
206270049,47317096,-96,25,25,-27,0,549,1
368851552,959924893,-96,25,25,-27,0,149,0
266192079,518328556,-96,25,25,-27,0,549,0
829473271,726569997,-86,100,100,-10,1,149,1
620693727,582363392,-86,100,100,-10,1,549,0
769558814,290343986,-86,100,100,-10,1,149,1
832938389,240503411,-86,100,100,-10,1,549,1
942081367,533237692,-86,100,100,-10,1,149,1
124697099,223805214,-86,100,100,-10,1,549,1
774237398,539297157,-86,100,100,-10,1,149,1
928331282,153149709,-86,100,100,-10,1,549,1
900561061,312333329,-86,100,100,-10,1,149,1
535259193,10740734,-86,100,100,-10,1,549,1
371570912,236147412,-86,100,100,-10,1,149,1
761176297,441398229,-86,100,100,-10,1,549,1
355044242,574243368,-50,50,50,0,2,549,1
509939727,671832197,-50,50,50,0,2,549,1
48838849,759663678,-50,50,50,0,2,549,1
233512131,438259102,-50,50,50,0,2,549,1
